Timestamp,Position_X,Position_Y,Position_Z,Rotation_X,Rotation_Y,Rotation_Z,IsTargetTrace,StrokeID,TargetID,TrailTypeID
135.4832,-0.08386394,0.02395925,-0.2144116,82.90569,18.44205,287.0251,True,21,5,0
135.4859,-0.08379516,0.02387871,-0.2144115,82.90859,18.6834,287.2719,True,21,5,0
135.4885,-0.08372162,0.02379273,-0.2144114,82.91152,18.94155,287.5357,True,21,5,0
135.4922,-0.08352479,0.02365021,-0.2143339,82.90622,19.38969,288.0121,True,21,5,0
135.4953,-0.0834369,0.02355081,-0.2143231,82.90871,19.67334,288.3026,True,21,5,0
135.4989,-0.08310316,0.02347358,-0.2142975,82.89729,20.34522,288.9777,True,21,5,0
135.5021,-0.08298568,0.0233684,-0.2142819,82.89875,20.67328,289.3132,True,21,5,0
135.505,-0.08290286,0.02329439,-0.2142709,82.89964,20.90457,289.5497,True,21,5,0
135.5079,-0.082606,0.023239,-0.2144012,82.92884,21.60483,290.2737,True,21,5,0
135.5112,-0.08247085,0.02314022,-0.2143897,82.93042,21.95344,290.6304,True,21,5,0
135.5146,-0.08235158,0.02305324,-0.2143793,82.93165,22.26108,290.9453,True,21,5,0
135.5185,-0.0821756,0.02298525,-0.214014,82.85562,22.31765,291.0254,True,21,5,0
135.5214,-0.08206204,0.02290826,-0.2139879,82.85435,22.58347,291.2981,True,21,5,0
135.5247,-0.08185897,0.0227797,-0.2139467,82.87077,23.29546,291.9849,True,21,5,0
135.5276,-0.08176166,0.02270852,-0.213912,82.86952,23.54241,292.237,True,21,5,0
135.5306,-0.0816474,0.02262512,-0.2138712,82.86794,23.83224,292.533,True,21,5,0
135.5347,-0.08151057,0.02249327,-0.2138874,82.89632,24.17273,292.8786,True,21,5,0
135.5381,-0.08139273,0.02240981,-0.2138481,82.89516,24.46153,293.1735,True,21,5,0
135.5411,-0.08121205,0.02238932,-0.2138515,82.91906,24.64409,293.2513,True,21,5,0
135.5451,-0.08102532,0.02228813,-0.2137966,82.91817,25.03996,293.6509,True,21,5,0
135.5486,-0.08102803,0.02220997,-0.2137578,82.94469,25.00285,293.5865,True,21,5,0
135.5522,-0.08087394,0.02212617,-0.2137082,82.94469,25.32338,293.9092,True,21,5,0
135.5552,-0.08072636,0.02204615,-0.2136607,82.94453,25.63034,294.2182,True,21,5,0
135.5594,-0.08054899,0.02187818,-0.2132356,82.85628,25.63363,294.1725,True,21,5,0
135.562,-0.08043465,0.02180463,-0.2131848,82.85378,25.85682,294.3961,True,21,5,0
135.5651,-0.08029933,0.02171776,-0.2131246,82.85074,26.12074,294.6603,True,21,5,0
135.569,-0.07987998,0.02168562,-0.213041,82.83302,26.78524,295.2418,True,21,5,0
135.5736,-0.07953811,0.0216029,-0.2130804,82.83424,27.3964,295.8687,True,21,5,0
135.5765,-0.07938629,0.02153547,-0.2130328,82.8304,27.65585,296.1266,True,21,5,0
135.579,-0.07924002,0.02147068,-0.2129868,82.82658,27.90551,296.3748,True,21,5,0
135.5833,-0.07900953,0.02146004,-0.213011,82.82375,28.18526,296.6443,True,21,5,0
135.5865,-0.07883391,0.02139764,-0.2129718,82.81902,28.46983,296.9268,True,21,5,0
135.5899,-0.0786256,0.02132387,-0.2129253,82.81324,28.80675,297.2615,True,21,5,0
135.5936,-0.07854386,0.02142204,-0.2129645,82.862,28.37506,296.8083,True,21,5,0
135.5966,-0.07836571,0.02138796,-0.2129375,82.85914,28.61053,297.0415,True,21,5,0
135.6001,-0.07871714,0.02143003,-0.2127525,82.89941,27.00682,295.3867,True,21,5,0
135.6035,-0.07852681,0.02140751,-0.2127289,82.89847,27.19848,295.5744,True,21,5,0
135.6068,-0.07871122,0.02147165,-0.2125967,82.89739,26.33443,294.65,True,21,5,0
135.6101,-0.07852136,0.0214619,-0.21258,82.89679,26.50281,294.8124,True,21,5,0
135.6128,-0.078341,0.02145274,-0.2125641,82.89604,26.66267,294.9667,True,21,5,0
135.6175,-0.07828857,0.0215326,-0.2124823,82.86274,26.47398,294.7143,True,21,5,0
135.6216,-0.07804492,0.02153581,-0.2124737,82.86024,26.69086,294.9203,True,21,5,0
135.6264,-0.07790425,0.02164194,-0.2124522,82.84043,26.50523,294.7672,True,21,5,0
135.6367,-0.07749505,0.02174446,-0.2123458,82.80257,26.55175,294.848,True,21,5,0
135.6404,-0.07729531,0.02176118,-0.212256,82.73429,26.90202,295.2284,True,21,5,0
135.6436,-0.077163,0.02177671,-0.2122645,82.72942,27.02089,295.344,True,21,5,0
135.6466,-0.07700801,0.02179492,-0.2122746,82.72376,27.15993,295.4792,True,21,5,0
135.6506,-0.07674535,0.02183214,-0.2122072,82.65802,27.55116,295.8772,True,21,5,0
135.6542,-0.07659446,0.02185051,-0.2122204,82.64991,27.69917,296.0217,True,21,5,0
135.6574,-0.07617035,0.0218948,-0.2121974,82.57365,28.37311,296.6881,True,21,5,0
135.6607,-0.0760451,0.02190998,-0.2122126,82.56489,28.50467,296.8167,True,21,5,0
135.6637,-0.0759052,0.02192697,-0.2122295,82.55511,28.65126,296.9601,True,21,5,0
135.6667,-0.07576654,0.02194935,-0.2120823,82.51659,28.65248,296.8568,True,21,5,0
135.6698,-0.07564416,0.02196361,-0.2120876,82.50726,28.77497,296.9737,True,21,5,0
135.6729,-0.07549949,0.02198049,-0.2120939,82.49617,28.91936,297.1114,True,21,5,0
135.6762,-0.0753634,0.02197807,-0.2119319,82.45248,28.87019,296.9376,True,21,5,0
135.6788,-0.07523214,0.02198946,-0.2119294,82.44155,28.99334,297.0512,True,21,5,0
135.6823,-0.07519411,0.0219636,-0.2117957,82.42257,28.80805,296.7813,True,21,5,0
